PoliticalWing,SicCode,SicCodeCategory,SicCodeDescription,Count
Right,51102,Transportation and storage,Non-scheduled passenger air transport,1
Right,52290,Transportation and storage,Other transportation support activities,1
Right,78109,Administrative and support service activities,Other activities of employment placement agencies,1
Right,64306,Financial and insurance activities,Activities of real estate investment trusts,1
Right,68202,Real estate activities,Letting and operating of conference and exhibition centres,1
Right,01110,"Agriculture, Forestry and Fishing","Growing of cereals (except rice), leguminous crops and oil seeds",1
Right,47799,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other second-hand goods in stores (not incl. antiques),1
Right,02100,"Agriculture, Forestry and Fishing",Silviculture and other forestry activities,1
Right,08120,Mining and Quarrying,Operation of gravel and sand pits; mining of clays and kaolin,1
Right,39000,"Water supply, sewerage, waste management and remediation activities",Remediation activities and other waste management services,1
Right,80300,Administrative and support service activities,Investigation activities,1
Right,84110,Public administration and defence; compulsory social security,General public administration activities,1
Right,84130,Public administration and defence; compulsory social security,Regulation of and contribution to more efficient operation of businesses,1
Right,60200,Information and communication,Television programming and broadcasting activities,1
Right,71111,"Professional, scientific and technical activities",Architectural activities,1
Right,71112,"Professional, scientific and technical activities",Urban planning and landscape architectural activities,1
Right,65300,Financial and insurance activities,Pension funding,1
Right,11050,Manufacturing,Manufacture of beer,1
Right,11020,Manufacturing,Manufacture of wine from grape,1
Right,46900,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialised wholesale trade,1
Right,14132,Manufacturing,Manufacture of other women's outerwear,1
Right,46420,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of clothing and footwear,1
Right,41202,Construction,Construction of domestic buildings,1
Right,66220,Financial and insurance activities,Activities of insurance agents and brokers,1
Right,63910,Information and communication,News agency activities,1
Right,62030,Information and communication,Computer facilities management activities,1
Right,65201,Financial and insurance activities,Life reinsurance,1
Right,73200,"Professional, scientific and technical activities",Market research and public opinion polling,1
Right,15120,Manufacturing,"Manufacture of luggage, handbags and the like, saddlery and harness",1
Right,91012,"Arts, entertainment and recreation",Archives activities,1
Right,32990,Manufacturing,Other manufacturing n.e.c.,1
Right,46450,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of perfume and cosmetics,1
Right,46499,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods (other than musical instruments) n.e.c,1
Right,52103,Transportation and storage,Operation of warehousing and storage facilities for land transport activities,1
Right,61200,Information and communication,Wireless telecommunications activities,1
Right,66190,Financial and insurance activities,Activities auxiliary to financial intermediation n.e.c.,1
Right,56290,Accommodation and food service activities,Other food services,1
Right,93191,"Arts, entertainment and recreation",Activities of racehorse owners,1
Right,55900,Accommodation and food service activities,Other accommodation,1
Right,74901,"Professional, scientific and technical activities",Environmental consulting activities,1
Right,73120,"Professional, scientific and technical activities",Media representation services,1
Right,46470,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of furniture, carpets and lighting equipment",1
Right,63120,Information and communication,Web portals,1
Right,90010,"Arts, entertainment and recreation",Performing arts,1
Right,87200,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse",1
Right,96040,Other service activities,Physical well-being activities,1
Right,94910,Other service activities,Activities of religious organisations,1
Right,85100,Education,Pre-primary education,1
